ID,Start time,Completion time,Email,Name,Your name(FirstName LastName),Your student ID,Your workshop class,Preferred student IDs separated by commas (max. 6 student IDs):,Platform,languages,Timezone,Preferred week days,Preferred day / nighttimes for team - work
52,-,-,s3118889@rmit.edu.au,Cassondra Rice,Cassondra Rice,s3118889,WRK5,"s3109010,s3110942,",Desktop,Java;C++;Python;,ACWST,-,-
53,-,-,s3109895@rmit.edu.au,Asher Glass,Asher Glass,s3109895,WRK5,"s3118058,s3115720,",iOS,Python;Java;C++;,ACST,-,-
54,-,-,s3115641@rmit.edu.au,Tate Joseph,Tate Joseph,s3115641,WRK5,"s3114758,s3114084,",Desktop,C++;Java;Python;,ACWST,-,-
55,-,-,s3110206@rmit.edu.au,Rylan Richards,Rylan Richards,s3110206,WRK2,"s3118259,s3110889,s3120858,",iOS,C++;Java;Python;,ACWST,-,-
56,-,-,s3110267@rmit.edu.au,Alfredo Valentine,Alfredo Valentine,s3110267,WRK4,"s3120403,",Desktop,Java;C++;Python;,Not Important to me,-,-
57,-,-,s3113081@rmit.edu.au,Efrain Estes,Efrain Estes,s3113081,WRK1,"s3111827,s3114121,s3110637,",Desktop,Java;C++;Python;,ACWST,-,-
58,-,-,s3120698@rmit.edu.au,Lidia Watkins,Lidia Watkins,s3120698,WRK4,"s3115578,s3110895,s3114415,",iOS,Python;C++;Java;,Not Important to me,-,-
59,-,-,s3109334@rmit.edu.au,Estella Landry,Estella Landry,s3109334,WRK1,"s3116506,s3119010,",Android,Python;C++;Java;,AWST,-,-
60,-,-,s3115395@rmit.edu.au,Carisa Bradley,Carisa Bradley,s3115395,WRK5,"s3114921,s3115356,s3115573,s3117689,s3110612,",Desktop,C++;Python;Java;,AWST,-,-
61,-,-,s3113282@rmit.edu.au,Shaun Todd,Shaun Todd,s3113282,WRK2,"s3120792,s3110312,s3116105,s3115559,",Desktop,Java;C++;Python;,AWST,-,-
62,-,-,s3115858@rmit.edu.au,Harrison Ali,Harrison Ali,s3115858,WRK4,"s3110565,s3120842,",Android,C++;Java;Python;,AWST,-,-
63,-,-,s3110679@rmit.edu.au,Krystin Blackwell,Krystin Blackwell,s3110679,WRK2,"s3110439,s3111838,",iOS,Python;Java;C++;,ACST,-,-
64,-,-,s3116004@rmit.edu.au,Elysia French,Elysia French,s3116004,WRK3,"s3110862,s3119516,",Android,C++;Python;Java;,ACWST,-,-
65,-,-,s3112236@rmit.edu.au,Jenica Mays,Jenica Mays,s3112236,WRK2,"s3115546,s3118455,s3112390,",iOS,C++;Java;Python;,ACWST,-,-
66,-,-,s3109475@rmit.edu.au,Ean Arnold,Ean Arnold,s3109475,WRK3,"s3116291,s3109230,",Android,C++;Java;Python;,AEST,-,-
67,-,-,s3114127@rmit.edu.au,Lorenzo Randolph,Lorenzo Randolph,s3114127,WRK5,"s3116287,s3114516,s3116581,s3109277,",Android,Python;C++;Java;,AEST,-,-
68,-,-,s3113702@rmit.edu.au,Peggy Parsons,Peggy Parsons,s3113702,WRK1,"s3112831,",iOS,Python;Java;C++;,Not Important to me,-,-
69,-,-,s3113694@rmit.edu.au,Nataly Barron,Nataly Barron,s3113694,WRK3,"s3115426,s3117159,s3117851,s3119789,s3111085,",Web,Python;C++;Java;,AWST,-,-
70,-,-,s3117224@rmit.edu.au,Nehemiah Lutz,Nehemiah Lutz,s3117224,WRK1,"s3119489,s3117204,",Web,Java;C++;Python;,AWST,-,-
71,-,-,s3116425@rmit.edu.au,Lyndi Maxwell,Lyndi Maxwell,s3116425,WRK1,"s3118188,s3119758,",Android,C++;Java;Python;,ACST,-,-
72,-,-,s3114463@rmit.edu.au,Jillian Rubio,Jillian Rubio,s3114463,WRK5,"s3120475,",Android,C++;Python;Java;,AEST,-,-
73,-,-,s3109984@rmit.edu.au,Ben Cook,Ben Cook,s3109984,WRK4,"s3110465,s3109109,s3116628,s3118473,s3117323,",Desktop,C++;Java;Python;,ACST,-,-
74,-,-,s3111061@rmit.edu.au,Mai Roth,Mai Roth,s3111061,WRK2,"s3113302,s3120396,s3118185,",Android,Java;Python;C++;,ACST,-,-
75,-,-,s3119492@rmit.edu.au,Kallie Hughes,Kallie Hughes,s3119492,WRK2,"s3114441,",Android,Java;Python;C++;,Not Important to me,-,-
76,-,-,s3110120@rmit.edu.au,Misael Love,Misael Love,s3110120,WRK2,"s3111501,",Android,C++;Java;Python;,Not Important to me,-,-
77,-,-,s3111342@rmit.edu.au,Lauran Odonnell,Lauran Odonnell,s3111342,WRK5,"s3109969,s3112690,s3109045,s3116257,",iOS,C++;Python;Java;,ACST,-,-
78,-,-,s3112623@rmit.edu.au,Carol Becker,Carol Becker,s3112623,WRK4,"s3115262,s3110803,s3117035,s3116743,",Web,Java;Python;C++;,AWST,-,-
79,-,-,s3117851@rmit.edu.au,Carson Morrison,Carson Morrison,s3117851,WRK2,"s3111755,s3114300,s3120043,s3110096,",Android,C++;Python;Java;,ACST,-,-
80,-,-,s3115610@rmit.edu.au,Shaneka Carpenter,Shaneka Carpenter,s3115610,WRK4,"s3110421,s3113017,",Desktop,Python;C++;Java;,ACWST,-,-
81,-,-,s3116978@rmit.edu.au,Jarrad Cameron,Jarrad Cameron,s3116978,WRK6,"s3113826,s3112164,s3119522,",Android,Java;Python;C++;,ACWST,-,-
82,-,-,s3119953@rmit.edu.au,Steffany Grimes,Steffany Grimes,s3119953,WRK3,"s3113444,",Desktop,C++;Java;Python;,Not Important to me,-,-
83,-,-,s3111024@rmit.edu.au,Alan Lane,Alan Lane,s3111024,WRK4,"s3113571,",Web,C++;Python;Java;,ACST,-,-
84,-,-,s3113348@rmit.edu.au,Noel Koch,Noel Koch,s3113348,WRK1,"s3109331,s3113035,s3120813,s3113034,s3118959,",Android,C++;Java;Python;,ACWST,-,-
85,-,-,s3120523@rmit.edu.au,Maira Trevino,Maira Trevino,s3120523,WRK1,"s3114570,s3110123,s3109677,",Android,Python;Java;C++;,AWST,-,-
86,-,-,s3112667@rmit.edu.au,Kellyn Keller,Kellyn Keller,s3112667,WRK2,"s3110076,s3116266,s3113842,s3119274,",iOS,Java;C++;Python;,Not Important to me,-,-
87,-,-,s3113390@rmit.edu.au,Dacia Tate,Dacia Tate,s3113390,WRK3,"s3119061,",Web,Java;Python;C++;,Not Important to me,-,-
88,-,-,s3113688@rmit.edu.au,Rueben Gutierrez,Rueben Gutierrez,s3113688,WRK4,"s3117091,",Desktop,Java;C++;Python;,ACWST,-,-
89,-,-,s3113289@rmit.edu.au,Shelby Avery,Shelby Avery,s3113289,WRK5,"s3116118,s3114176,s3117043,",Android,C++;Java;Python;,ACWST,-,-
90,-,-,s3110285@rmit.edu.au,Ashli Blackburn,Ashli Blackburn,s3110285,WRK4,"s3111239,s3118273,",Desktop,Java;Python;C++;,Not Important to me,-,-
91,-,-,s3109589@rmit.edu.au,Carli Matthews,Carli Matthews,s3109589,WRK1,"s3117713,s3118000,",Web,Java;Python;C++;,ACWST,-,-
92,-,-,s3119475@rmit.edu.au,Annabel Bruce,Annabel Bruce,s3119475,WRK4,"s3115964,",Web,Python;C++;Java;,Not Important to me,-,-
93,-,-,s3117387@rmit.edu.au,Camden Avila,Camden Avila,s3117387,WRK4,"s3117857,",iOS,C++;Python;Java;,ACWST,-,-
94,-,-,s3116037@rmit.edu.au,Randy Jones,Randy Jones,s3116037,WRK2,"s3120718,",iOS,Java;Python;C++;,ACST,-,-
95,-,-,s3116027@rmit.edu.au,Elliot Pierce,Elliot Pierce,s3116027,WRK4,"s3116473,s3113072,",Android,Java;Python;C++;,Not Important to me,-,-
96,-,-,s3117850@rmit.edu.au,Darla Jacobson,Darla Jacobson,s3117850,WRK4,"s3111812,s3111109,s3113371,",Android,C++;Java;Python;,ACST,-,-
97,-,-,s3116459@rmit.edu.au,Maren Rios,Maren Rios,s3116459,WRK4,"s3109904,s3117042,s3112880,",Android,C++;Python;Java;,Not Important to me,-,-
98,-,-,s3111520@rmit.edu.au,Sharell Zuniga,Sharell Zuniga,s3111520,WRK3,"s3116783,s3115679,",Desktop,Python;Java;C++;,AWST,-,-
99,-,-,s3119987@rmit.edu.au,Benedict Simon,Benedict Simon,s3119987,WRK4,"s3113763,s3111877,s3120235,s3116466,",Android,C++;Java;Python;,ACST,-,-
100,-,-,s3113886@rmit.edu.au,Charity Murray,Charity Murray,s3113886,WRK2,"s3117865,s3111458,s3118420,s3119865,s3119678,",Desktop,Python;Java;C++;,ACWST,-,-
